Problem,Alpha,Beta,DepthCut,NodesProcessed,NumSols,NumberofGeneratedSolutions,PercentNearOptimal,SolCut,Time(ms),diversity,nodeType,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.3,1634.12854,0.188716,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.4,1628.007446,0.192517,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.5,1332.047119,0.169148,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.6,1294.780762,0.169678,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.7,1017.026428,0.167717,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.8,851.504639,0.168,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.09,0,0,100,101,0.01,0.9,584.014648,0.161944,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0,2162.643799,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.01,2172.137695,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.02,2206.056885,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.03,2154.29834,0.166373,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.04,2093.76709,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.05,2134.12915,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.06,2127.587402,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.07,2123.515869,0.171131,DiversiTree,,,,,,,,,,,,
gen(100),0.01,0.1,0,0,100,101,0.01,0.08,2138.908203,0.171131,DiversiTree,,,,,,,,,,,,
